Epoch	Train Loss	Validation Loss	Train Accuracy	Validation Accuracy
1	0.8132	0.7294	0.6778	0.6617
2	0.4587	0.4008	0.8367	0.8437
3	0.2991	0.3509	0.8779	0.8563
4	0.1955	0.4464	0.9347	0.8450
5	0.1301	0.3704	0.9633	0.8663
6	0.1037	0.7430	0.9704	0.7937
7	0.0837	0.2990	0.9744	0.8893
8	0.0587	0.3276	0.9828	0.8920
9	0.0400	0.3939	0.9889	0.8873
10	0.0322	0.5065	0.9914	0.8673
11	0.0277	0.6250	0.9931	0.8547
12	0.0236	0.5026	0.9949	0.8793
13	0.0200	0.5352	0.9962	0.8733
14	0.0172	0.5966	0.9971	0.8707
15	0.0160	0.5298	0.9970	0.8813
16	0.0138	0.6119	0.9983	0.8723
17	0.0124	0.5543	0.9984	0.8710
18	0.0114	0.6098	0.9988	0.8730
19	0.0102	0.6331	0.9990	0.8703
20	0.0092	0.6211	0.9995	0.8830
21	0.0085	0.6292	0.9994	0.8787
22	0.0077	0.6302	0.9997	0.8737
23	0.0072	0.5892	0.9997	0.8847
24	0.0066	0.6202	0.9996	0.8750
25	0.0061	0.6273	0.9998	0.8777
26	0.0059	0.5513	0.9998	0.8950
27	0.0053	0.6063	0.9998	0.8810
28	0.0048	0.7309	0.9998	0.8720
29	0.0045	0.7606	0.9999	0.8653
30	0.0042	0.7186	0.9999	0.8700
31	0.0039	0.6211	0.9999	0.8780
32	0.0037	0.6532	1.0000	0.8790
33	0.0034	0.5985	0.9999	0.8780
34	0.0032	0.7438	0.9999	0.8730
35	0.0031	0.6727	0.9999	0.8810
36	0.0029	0.7601	1.0000	0.8707
37	0.0026	0.7338	1.0000	0.8743
38	0.0026	0.7289	1.0000	0.8753
39	0.0024	0.6108	1.0000	0.8850
40	0.0023	0.8484	1.0000	0.8597
41	0.0022	0.9010	1.0000	0.8550
42	0.0021	0.7067	1.0000	0.8800
43	0.0020	0.7036	0.9999	0.8770
44	0.0019	0.8085	1.0000	0.8683
45	0.0018	0.7234	1.0000	0.8787
46	0.0017	0.7364	1.0000	0.8747
47	0.0016	0.8346	1.0000	0.8653
48	0.0016	0.7394	1.0000	0.8767
49	0.0015	0.7506	0.9999	0.8787
50	0.0014	0.7623	1.0000	0.8767
